Time,Equity,Returns,stock1_signal,stock2_signal
2011-02-27,9155.527160000001,0.0003672092325592846,1,-1
2011-02-28,9152.630610000002,-0.0003163717336401861,1,-1
2011-03-01,9175.569300000003,0.0025062401158131298,1,-1
2011-03-02,9174.802920000002,-8.352397273059253e-05,1,-1
2011-03-03,9156.331120000003,-0.0020133184506593294,1,-1
2011-03-04,9172.662580000002,0.0017836248805296329,1,-1
2011-03-06,9176.401970000003,0.00040766679984005627,1,-1
2011-03-07,9173.353750000002,-0.0003321803044337157,1,-1
2011-03-08,9169.742920000002,-0.0003936215803298504,1,-1
2011-03-09,9171.270160000002,0.00016655210656657538,1,-1
2011-03-10,9153.819780000002,-0.0019027222724403714,1,-1
2011-03-11,9159.571760000003,0.0006283693734683293,1,-1
2011-03-13,9168.525060000002,0.0009774801960829027,1,-1
2011-03-14,9167.977650000003,-5.970535025179302e-05,1,-1
2011-03-15,9136.607970000003,-0.0034216575560696016,1,-1
2011-03-16,9129.034350000002,-0.0008289312647394853,1,-1
2011-03-17,9149.309560000002,0.0022209588903561173,1,-1
2011-03-18,9160.099970000003,0.0011793687741397108,1,-1
2011-03-20,9167.470170000002,0.0008045982057114376,1,-1
2011-03-21,9168.801130000002,0.0001451829103686908,1,-1
2011-03-22,9170.003920000001,0.00013118290853353365,1,-1
2011-03-23,9179.800250000002,0.001068301615295475,1,-1
2011-03-24,9174.145180000001,-0.000616034101613594,1,-1
2011-03-25,9171.494690000001,-0.0002889086610247116,1,-1
2011-03-27,9168.117370000002,-0.0003682409589880198,1,-1
2011-03-28,9162.469850000001,-0.0006159956043407799,1,-1
2011-03-29,9159.021970000002,-0.00037630464890425763,1,-1
2011-03-30,9164.054900000003,0.0005495051782260507,1,-1
2011-03-31,9174.109970000001,0.001097229349859008,1,-1
2011-04-01,9170.484810000002,-0.00039515113856869455,1,-1
2011-04-03,9172.490630000002,0.0002187256226424683,1,-1
2011-04-04,9175.921600000001,0.0003740499869007152,1,-1
2011-04-05,9195.734340000003,0.002159209817137242,1,-1
2011-04-06,9200.226570000003,0.0004885123725746343,1,-1
2011-04-07,9200.639870000003,4.492280672163673e-05,1,-1
2011-04-08,9216.516630000002,0.0017256147642261688,1,-1
2011-04-10,9217.760770000003,0.00013499026258467772,1,-1
2011-04-11,9204.693280000001,-0.0014176425626634126,1,-1
2011-04-12,9194.687890000001,-0.001086987876254386,1,-1
2011-04-13,9198.433240000002,0.0004073384594245333,1,-1
2011-04-14,9219.883990000002,0.002332000400537826,1,-1
2011-04-15,9228.526790000002,0.0009374087580031887,1,-1
2011-04-17,9229.993860000002,0.00015897120237973184,1,-1
2011-04-18,9236.805530000001,0.000737992906963747,1,-1
2011-04-19,9237.55296,8.091866799309066e-05,1,-1
2011-04-20,9243.328060000002,0.0006251763887046291,1,-1
2011-04-21,9244.081490000002,8.151068480000134e-05,1,-1
2011-04-22,9249.208010000002,0.0005545732159053518,1,-1
2011-04-24,9253.922450000002,0.0005097128310773691,1,-1
2011-04-25,9248.606980000002,-0.0005744018310851473,1,-1
2011-04-26,9250.624510000001,0.0002181442031607972,1,-1
2011-04-27,9266.65888,0.0017333283804423782,1,-1
2011-04-28,9277.198570000002,0.0011373775744296655,1,-1
2011-04-29,9304.792340000002,0.0029743644907236355,1,-1
2011-05-01,9295.251150000002,-0.0010254060113715768,1,-1
2011-05-02,9283.364550000002,-0.0012787820154810392,1,-1
2011-05-03,9278.92292,-0.0004784504557672209,1,-1
2011-05-04,9257.526090000001,-0.0023059605284445617,1,-1
2011-05-05,9215.224300000002,-0.004569448639814677,1,-1
2011-05-06,9237.220440000001,0.002386934846501765,1,-1
2011-05-08,9235.473690000003,-0.00018909909223718824,1,-1
2011-05-09,9253.608360000002,0.0019635885076079163,1,-1
2011-05-10,9257.701900000002,0.0004423722985398282,1,-1
2011-05-11,9245.834140000003,-0.0012819336945812942,1,-1
2011-05-12,9246.448610000001,6.645911993374831e-05,1,-1
2011-05-13,9236.868690000001,-0.0010360648075888879,1,-1
2011-05-15,9233.823730000002,-0.0003296528403934351,1,-1
2011-05-16,9231.81766,-0.00021725236030700756,1,-1
2011-05-17,9227.501860000002,-0.0004674919023475166,1,-1
2011-05-18,9237.879510000002,0.001124643501291045,1,-1
2011-05-19,9236.940860000002,-0.00010160881606913197,1,-1
2011-05-20,9253.81499,0.001826809357746484,1,-1
2011-05-22,9258.834980000001,0.0005424778867337832,1,-1
2011-05-23,9256.027450000001,-0.0003032271345222437,1,-1
2011-05-24,9266.496280000001,0.001131028408953183,1,-1
